1784414651.7657 0.00384 -0.00152 2.55463 -1.47916
1784414651.7758 0.09163 0.09077 2.55419 -1.47914
1784414651.7858 0.09164 0.09069 2.55419 -1.47914
1784414651.7960 0.09147 0.08935 2.55419 -1.47914
1784414651.8061 0.09154 0.08935 2.55419 -1.47914
1784414651.8160 0.04763 0.04881 2.55419 -1.47919
1784414651.8259 0.00009 -0.00011 2.55419 -1.47919
1784414651.8358 0.00014 -0.00019 2.55419 -1.47919
1784414651.8460 0.00022 -0.00033 2.55419 -1.47919
1784414651.8560 0.00047 -0.00061 2.55419 -1.47919
1784414651.8660 0.04578 0.04555 2.55419 -1.47919
1784414651.8759 0.00039 -0.00039 2.55419 -1.47919
1784414651.8861 0.00049 -0.00063 2.55418 -1.47919
1784414651.8959 0.04579 0.04553 2.55418 -1.47919
1784414651.9060 0.04582 0.04531 2.55418 -1.47919
1784414651.9159 0.04583 0.04527 2.55418 -1.47919
1784414651.9260 0.04593 0.04503 2.55418 -1.47919
1784414651.9359 0.04578 0.04364 2.55418 -1.47919
1784414651.9460 -0.00131 0.00758 2.55418 -1.47914
1784414651.9560 0.09153 0.09099 2.55418 -1.47914
1784414651.9660 0.09163 0.09073 2.55419 -1.47919
1784414651.9760 0.00383 -0.00151 2.55462 -1.47916
1784414651.9858 0.09162 0.09078 2.55418 -1.47914
1784414651.9959 0.09164 0.09069 2.55418 -1.47914
1784414652.0058 0.09147 0.08935 2.55418 -1.47914
1784414652.0160 0.09154 0.08935 2.55418 -1.47914
1784414652.0261 0.04763 0.04881 2.55418 -1.47919
1784414652.0359 0.00009 -0.00011 2.55418 -1.47919
1784414652.0460 0.00014 -0.00019 2.55418 -1.47919
1784414652.0558 0.00022 -0.00033 2.55418 -1.47919
1784414652.0659 0.00274 0.00143 2.55418 -1.47919
1784414652.0762 0.00023 -0.00028 2.55417 -1.47919
1784414652.0865 0.00023 -0.00034 2.55417 -1.47919
1784414652.0964 0.00047 -0.00061 2.55417 -1.47919
1784414652.1064 0.00049 -0.00064 2.55417 -1.47919
1784414652.1162 0.04579 0.04552 2.55417 -1.47919
1784414652.1258 0.04582 0.04530 2.55417 -1.47919
1784414652.1359 0.04593 0.04504 2.55417 -1.47919
1784414652.1462 0.04578 0.04365 2.55417 -1.47919
1784414652.1560 -0.00131 0.00758 2.55417 -1.47919
1784414652.1662 0.09153 0.09099 2.55417 -1.47914
