1784410986.660312560 1.88909 -0.433994 0.050001 -0 -0.13183 -0.369844
1784410987.782421265 1.88909 -0.433994 0.05 0 -0.131829 -0.369964
1784410988.781619955 1.88909 -0.433992 0.05 -0 -0.131829 -0.369919
1784410989.782598113 1.88909 -0.433991 0.05 0 -0.131829 -0.369981
1784410990.789673983 1.86855 -0.456652 0.05698 -0.062824 0.009092 -1.65262
1784410994.692904199 1.56833 -0.701124 0.05 3.14159 -1.47919 -0.14709
1784410995.709191583 1.5664 -0.700845 0.05 3.14159 -1.47919 -0.147209
1784410996.700274713 1.56445 -0.700565 0.05 3.14159 -1.47919 -0.147327
1784410997.704961745 1.56251 -0.700286 0.05 3.14159 -1.47919 -0.147451
1784410998.708641528 1.56057 -0.700006 0.05 -3.14159 -1.47919 -0.147579
1784410999.708040185 1.55863 -0.699725 0.05 3.14159 -1.47919 -0.147701
1784411000.718698036 1.55629 -0.699387 0.05 3.14159 -1.47919 -0.147852
1784411001.914149103 1.55436 -0.699107 0.05 3.14159 -1.47919 -0.14798
1784411002.919283926 1.55241 -0.698824 0.05 3.14159 -1.47919 -0.148103
1784411003.920439647 1.55047 -0.698543 0.05 -3.14159 -1.47914 -0.148236
1784411004.922445677 1.5485 -0.698257 0.05 3.14159 -1.47919 -0.148351
1784411005.923820964 1.54654 -0.697972 0.05 3.14159 -1.47914 -0.148469
1784411006.925542565 1.54456 -0.697683 0.05 3.14159 -1.47914 -0.148592
1784411007.927679838 1.54298 -0.697454 0.05 3.14159 -1.47919 -0.148691
1784411008.732167854 1.541 -0.697166 0.05 3.14159 -1.47914 -0.14881
1784411009.732768131 1.53901 -0.696874 0.05 -3.14159 -1.47914 -0.14894
1784411010.739136529 1.53703 -0.696586 0.05 3.14159 -1.47919 -0.149064
1784411011.740037851 1.53504 -0.696295 0.05 3.14159 -1.47919 -0.149193
1784411012.740950444 1.53304 -0.696002 0.05 3.14159 -1.47919 -0.149314
1784411013.742914248 1.53104 -0.695708 0.05 3.14159 -1.47919 -0.149443
1784411014.749435837 1.52903 -0.695414 0.05 3.14159 -1.47919 -0.149571
1784411015.749213792 1.52703 -0.69512 0.05 3.14159 -1.47914 -0.149696
1784411016.752238734 1.52501 -0.694823 0.05 -3.14159 -1.47919 -0.149832
1784411017.755399952 1.52299 -0.694526 0.05 3.14159 -1.47914 -0.149972
1784411018.756706175 1.52096 -0.694226 0.05 3.14159 -1.47919 -0.150097
1784411019.664322045 1.51932 -0.693986 0.05 3.14159 -1.47919 -0.150197
1784411020.659543653 1.51728 -0.693685 0.05 3.14159 -1.47914 -0.150322
1784411021.655744527 1.51522 -0.69338 0.05 3.14159 -1.47914 -0.150452
1784411022.655184312 1.51315 -0.693073 0.05 3.14159 -1.47919 -0.150578
1784411023.653162478 1.51108 -0.692767 0.05 3.14159 -1.47919 -0.150704
1784411024.656206396 1.50903 -0.692462 0.05 -3.14159 -1.47919 -0.150822
1784411025.655332137 1.50679 -0.692122 0.05 3.14159 -1.47919 -0.150838
1784411029.590144162 1.50372 -0.691656 0.05 3.14159 -1.47919 -0.150878
1784411030.487682982 1.50146 -0.691314 0.05 3.14159 -1.47914 -0.150911
1784411031.588095412 1.49924 -0.690977 0.05 3.14159 -1.47914 -0.150934
1784411032.587379560 1.49702 -0.690639 0.05 3.14159 -1.47914 -0.150958
1784411033.587678476 1.4948 -0.690302 0.05 -3.14159 -1.47919 -0.150984
1784411034.587516699 1.49253 -0.689958 0.05 -3.14159 -1.47919 -0.15101
1784411035.588779442 1.49031 -0.689621 0.05 -3.14159 -1.47919 -0.151036
1784411036.589148883 1.48809 -0.689283 0.05 3.14159 -1.47914 -0.151063
1784411037.588523916 1.48587 -0.688946 0.05 3.14159 -1.47914 -0.151091
1784411038.590052866 1.48368 -0.688614 0.05 3.14159 -1.47914 -0.151119
1784411039.588053453 1.48146 -0.688277 0.05 3.14159 -1.47919 -0.151149
1784411040.590059828 1.47923 -0.687938 0.05 -3.14159 -1.47919 -0.151179
1784411041.590792289 1.47701 -0.687601 0.05 -3.14159 -1.47919 -0.151209
1784411042.595375925 1.47479 -0.687263 0.05 -3.14159 -1.47919 -0.151241
1784411043.590000784 1.47257 -0.686925 0.05 -3.14159 -1.47919 -0.151273
1784411044.590506518 1.47038 -0.686593 0.05 3.14159 -1.47914 -0.151303
1784411045.592472444 1.46816 -0.686255 0.05 -3.14159 -1.47919 -0.151336
1784411046.590977764 1.46593 -0.685916 0.05 3.14159 -1.47919 -0.151369
1784411047.589591637 1.46376 -0.685586 0.05 3.14159 -1.47914 -0.1514
1784411048.589888890 1.46155 -0.685249 0.05 3.14159 -1.47914 -0.151433
1784411049.591401089 1.45937 -0.684919 0.05 3.14159 -1.47919 -0.151466
1784411050.593200618 1.45633 -0.684456 0.05 -3.14159 -1.47919 -0.151511
1784411051.978972525 1.45366 -0.684049 0.05 3.14159 -1.47919 -0.151549
1784411053.179561568 1.45059 -0.683582 0.05 -3.14159 -1.47919 -0.151595
1784411054.508158406 1.44759 -0.683125 0.05 3.14159 -1.47919 -0.151637
