1784415767.6158 0.00755 0.00727 -1.77333 -0.13191
1784415767.6258 0.00741 0.00714 -1.77333 -0.13191
1784415767.6360 0.00727 0.00701 -1.77333 -0.13191
1784415767.6459 0.00716 0.00690 -1.77333 -0.13191
1784415767.6559 0.01260 0.00338 -1.77333 -0.13191
1784415767.6659 0.00010 0.01185 -1.77332 -0.13191
1784415767.6757 0.00670 0.00739 -1.77333 -0.13190
1784415767.6857 0.00653 0.00828 -1.77332 -0.13190
1784415767.6957 0.00616 0.00781 -1.77331 -0.13191
1784415767.7064 0.00571 0.00726 -1.77331 -0.13191
1784415767.7158 0.00549 0.00693 -1.77331 -0.13190
1784415767.7259 0.00547 0.00682 -1.77330 -0.13190
1784415767.7358 0.00535 0.00660 -1.77330 -0.13190
1784415767.7460 0.00539 0.00655 -1.77329 -0.13190
1784415767.7559 0.00541 0.00648 -1.77329 -0.13190
1784415767.7657 0.00546 0.00644 -1.77329 -0.13190
1784415767.7760 0.00545 0.00635 -1.77328 -0.13190
1784415767.7859 0.00539 0.00621 -1.77328 -0.13190
1784415767.7959 0.00530 0.00606 -1.77328 -0.13190
1784415767.8060 0.00523 0.00592 -1.77328 -0.13190
1784415767.8159 0.00517 0.00579 -1.77328 -0.13190
1784415767.8258 0.00511 0.00567 -1.77327 -0.13190
1784415767.8358 0.00506 0.00555 -1.77327 -0.13190
1784415767.8460 0.00498 0.00541 -1.77327 -0.13190
1784415767.8559 0.00489 0.00526 -1.77327 -0.13190
1784415767.8659 0.00481 0.00512 -1.77327 -0.13189
1784415767.8757 0.00479 0.00506 -1.77327 -0.13189
1784415767.8855 0.00478 0.00500 -1.77326 -0.13189
1784415767.8957 0.00474 0.00490 -1.77326 -0.13189
1784415767.9059 0.00467 0.00479 -1.77326 -0.13189
1784415767.9160 0.00459 0.00467 -1.77326 -0.13189
1784415767.9259 0.00452 0.00456 -1.77326 -0.13189
1784415767.9359 0.00446 0.00446 -1.77326 -0.13189
1784415767.9457 0.00439 0.00436 -1.77326 -0.13189
1784415767.9558 0.00431 0.00424 -1.77326 -0.13189
1784415767.9658 0.00422 0.00412 -1.77326 -0.13189
1784415767.9756 0.00413 0.00400 -1.77326 -0.13189
1784415767.9859 0.00412 0.00395 -1.77326 -0.13189
1784415767.9956 0.00410 0.00391 -1.77326 -0.13189
1784415768.0059 0.00406 0.00383 -1.77326 -0.13189
1784415768.0156 0.00399 0.00374 -1.77326 -0.13189
1784415768.0259 0.00391 0.00364 -1.77326 -0.13189
1784415768.0357 0.00384 0.00354 -1.77326 -0.13189
1784415768.0457 0.00377 0.00346 -1.77326 -0.13188
1784415768.0562 0.00371 0.00337 -1.77326 -0.13188
1784415768.0657 0.00362 0.00327 -1.77326 -0.13188
1784415768.0758 0.00354 0.00317 -1.77326 -0.13188
1784415768.0857 0.00345 0.00306 -1.77326 -0.13188
1784415768.0958 0.00342 0.00302 -1.77326 -0.13188
1784415768.1055 0.00341 0.00299 -1.77326 -0.13188
1784415768.1156 0.00337 0.00295 -1.77326 -0.13188
1784415768.1258 0.00331 0.00287 -1.77327 -0.13188
1784415768.1356 0.00323 0.00278 -1.77327 -0.13188
1784415768.1460 0.00316 0.00270 -1.77327 -0.13188
1784415768.1558 0.00309 0.00262 -1.77327 -0.13188
1784415768.1659 0.00300 0.00252 -1.77327 -0.13188
1784415768.1758 0.00292 0.00243 -1.77327 -0.13188
1784415768.1859 0.00283 0.00234 -1.77327 -0.13188
1784415768.1960 0.00278 0.00228 -1.77327 -0.13188
1784415768.2061 0.00279 0.00229 -1.77327 -0.13188
1784415768.2163 0.00278 0.00227 -1.77327 -0.13188
1784415768.2263 0.00272 0.00221 -1.77327 -0.13188
1784415768.2363 0.00265 0.00213 -1.77327 -0.13187
1784415768.2464 0.00257 0.00206 -1.77328 -0.13187
